movieId,covariance,target_item
1,-0.15479013,100157
2,-0.020608872,100157
5,0.017942118,100157
6,0.09303619,100157
7,0.029670198,100157
10,0.04092432,100157
11,0.1017937,100157
12,0.30671883,100157
13,-0.060536943,100157
16,-1.2909403,100157
17,-0.14518587,100157
19,-0.2331275,100157
21,-1.864553,100157
24,0.062971346,100157
25,-0.51433563,100157
29,-0.114384435,100157
31,0.34731779,100157
32,0.030292606,100157
34,-0.23550242,100157
35,0.110739075,100157
36,0.012729545,100157
39,0.09995857,100157
40,-0.36593947,100157
41,-0.30046695,100157
44,-0.037392467,100157
45,0.20237808,100157
46,-0.28330746,100157
47,-0.3222444,100157
48,0.012392004,100157
49,0.09227878,100157
50,0.17149822,100157
52,-0.7519405,100157
58,-0.34345055,100157
62,-0.4114275,100157
63,0.018506639,100157
65,-0.08760515,100157
68,-0.09711011,100157
69,-0.122045964,100157
72,0.24945799,100157
76,0.14139542,100157
77,-0.3104575,100157
80,0.062318817,100157
82,-0.20248346,100157
85,-0.38359743,100157
86,0.003688231,100157
95,0.30406755,100157
97,-0.0009905626,100157
101,0.005823076,100157
104,-0.037129052,100157
107,-0.047853068,100157
110,-0.04048526,100157
111,0.25311613,100157
114,0.084570445,100157
118,0.2197771,100157
123,-0.28483355,100157
125,0.09595886,100157
141,-0.29160362,100157
144,-0.10031456,100157
145,0.0069658756,100157
146,0.24176255,100157
147,-0.1620146,100157
150,-0.044873595,100157
151,0.10243612,100157
153,-0.0029242327,100157
154,-0.05500182,100157
157,0.047851425,100157
158,0.53666645,100157
160,0.4457622,100157
161,0.20672268,100157
162,0.42835003,100157
163,-0.04342113,100157
164,0.008092196,100157
165,-0.65171087,100157
166,0.8755557,100157
168,0.092289224,100157
169,0.07879188,100157
170,-0.16117823,100157
171,-0.0335008,100157
172,-0.0074275658,100157
175,-0.366602,100157
176,-0.6172358,100157
177,0.13646407,100157
180,0.016312763,100157
181,0.25805598,100157
185,0.103101574,100157
186,-0.030074837,100157
187,0.1913957,100157
190,-0.014699095,100157
193,0.3427934,100157
194,-0.29012275,100157
195,0.14678872,100157
198,0.115859665,100157
199,0.2980798,100157
205,-0.0035260536,100157
206,0.7378774,100157
207,0.38098228,100157
208,-0.2772873,100157
212,0.09371121,100157
214,0.15201099,100157
215,-0.13641907,100157
216,0.06278356,100157
218,0.15701513,100157
