movieId,userId
1,7
2,4
3,0
4,0
5,1
6,1
7,2
8,0
9,0
10,3
11,6
12,1
13,1
14,0
15,0
16,1
17,3
18,0
19,2
20,0
21,1
22,0
23,0
24,3
25,2
26,0
27,0
28,0
29,4
30,0
31,1
32,3
33,0
34,6
35,1
36,1
37,0
38,0
39,6
40,1
41,1
42,0
43,0
44,2
45,3
46,1
47,6
48,4
49,2
50,6
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,3
59,0
60,0
61,0
62,4
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,2
73,0
74,0
75,0
76,2
77,1
78,0
79,0
80,1
81,0
82,4
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,2
102,0
103,0
104,2
105,0
106,0
107,1
108,0
109,0
110,4
111,3
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,2
124,0
125,4
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,5
142,0
143,0
144,2
145,2
146,1
147,3
148,0
149,0
150,3
151,1
152,0
153,4
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,2
163,2
164,1
165,4
166,1
167,0
168,1
169,1
170,2
171,3
172,2
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,2
181,1
182,0
183,0
184,0
185,5
186,1
187,2
188,0
189,0
190,2
191,0
192,0
193,1
194,2
195,2
196,0
197,0
198,1
199,2
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,4
209,0
210,0
211,0
212,1
213,0
214,1
215,4
216,2
217,0
218,1
219,0
220,1
222,1
223,5
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,2
232,2
233,2
234,0
235,3
236,1
237,2
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,2
247,3
248,0
249,0
250,0
251,0
252,2
253,3
254,0
255,0
256,2
257,0
258,1
259,0
260,7
261,2
262,0
263,0
264,0
265,2
266,1
267,0
268,0
269,1
270,0
271,0
272,2
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,2
283,0
284,0
285,0
286,0
287,0
288,4
289,2
290,1
291,0
292,3
293,3
294,0
295,0
296,4
297,0
298,0
299,2
300,4
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,2
315,0
316,4
317,3
318,5
319,1
320,0
321,0
322,0
324,1
325,0
326,1
327,2
328,1
329,4
330,0
331,0
332,0
333,0
334,1
335,0
336,0
337,4
338,2
339,4
340,0
341,1
342,4
343,0
344,8
345,4
346,0
347,0
348,2
349,0
350,2
351,1
352,1
353,2
354,0
355,2
356,8
357,5
358,1
359,0
360,1
361,1
362,1
363,1
364,7
365,1
366,2
367,5
368,2
369,0
370,3
371,0
372,2
373,0
374,1
375,0
376,1
377,4
378,0
379,1
380,4
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,6
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,2
435,3
436,0
437,0
438,0
439,0
440,5
441,5
442,2
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,1
455,1
456,0
457,4
458,0
459,0
460,0
461,2
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,0
471,2
472,0
473,0
474,2
475,0
476,0
477,1
478,0
479,0
480,8
481,0
482,1
483,1
484,0
485,3
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,8
501,1
502,1
503,0
504,0
505,0
506,3
507,0
508,3
509,1
510,0
511,0
512,1
513,0
514,0
515,1
516,1
517,0
518,1
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,0
527,6
528,0
529,4
530,0
531,1
532,5
533,0
534,1
535,2
536,0
537,0
538,1
539,6
540,1
541,4
542,2
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,2
551,6
552,0
553,1
554,0
555,1
556,2
558,1
559,0
560,0
561,0
562,5
563,1
564,0
565,2
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,0
577,0
579,0
580,0
581,3
582,0
583,0
584,0
585,3
586,7
587,7
588,7
589,3
590,7
591,0
592,5
593,7
594,5
595,4
596,4
597,7
598,0
599,2
600,0
601,0
602,0
603,0
604,0
605,3
606,0
607,0
608,5
609,0
610,1
611,0
612,0
613,0
614,0
615,1
616,2
617,0
618,0
619,0
620,0
621,0
623,0
624,0
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
647,1
648,2
649,0
650,0
651,0
652,0
653,4
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,6
662,0
663,1
664,0
665,2
666,0
667,0
668,2
670,2
671,0
672,0
673,1
674,1
675,0
676,0
678,0
679,0
680,1
681,1
682,0
683,0
