userId,movieId
1,2
2,0
3,2
4,0
5,1
6,0
7,2
8,1
9,0
10,2
11,7
12,1
13,2
14,0
15,2
16,1
17,0
18,3
19,1
20,0
21,3
22,1
23,2
24,2
25,3
26,2
27,1
28,0
29,2
30,0
31,2
32,2
33,0
34,1
35,4
36,0
37,0
38,1
39,0
40,2
41,2
42,1
43,1
44,0
45,2
46,2
47,2
48,2
49,2
50,2
51,3
52,0
53,3
54,9
55,0
56,3
57,0
58,5
59,1
60,3
61,0
62,1
63,2
64,2
65,2
66,0
67,1
68,0
69,3
70,2
71,2
72,0
73,2
74,1
75,1
76,0
77,1
78,0
79,1
80,0
81,0
82,3
83,0
84,0
85,2
86,3
87,1
88,2
89,2
90,1
91,6
92,0
93,1
94,0
95,0
96,6
97,0
98,1
99,2
100,2
101,0
102,2
103,1
104,4
105,0
106,1
107,0
108,0
109,3
110,3
111,2
112,2
113,0
114,0
115,3
116,15
117,0
118,1
119,0
120,2
121,1
122,0
123,1
124,5
125,0
126,0
127,1
128,0
129,3
130,2
131,3
132,3
133,3
134,4
135,3
136,1
137,6
138,1
139,0
140,3
141,2
142,2
143,0
144,0
145,1
146,0
147,2
148,1
149,1
150,1
151,3
152,1
153,2
154,2
155,1
156,11
157,0
158,3
159,1
160,1
161,1
162,2
163,3
164,0
165,2
166,0
167,3
168,0
169,3
170,1
171,0
172,1
173,0
174,0
175,2
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,2
185,1
186,0
187,0
188,1
189,2
190,2
191,3
192,0
193,0
194,0
195,0
196,4
197,2
198,0
199,1
200,1
201,0
202,1
203,0
204,5
205,1
206,2
207,0
208,5
209,3
210,1
211,2
212,0
213,2
214,1
215,4
216,1
217,0
218,1
219,1
220,3
221,1
222,2
223,0
224,0
225,2
226,0
227,0
228,0
229,2
230,0
231,2
232,1
233,1
234,1
235,1
236,1
237,3
238,3
239,4
240,1
241,2
242,1
243,1
244,1
245,3
246,2
247,3
248,3
249,2
250,0
251,9
252,1
253,1
254,2
255,0
256,0
257,0
258,5
259,1
260,2
261,0
262,0
263,1
264,3
265,1
266,3
267,4
268,0
269,0
270,0
271,7
272,0
273,1
274,0
275,0
276,0
277,0
278,4
279,3
280,3
281,3
282,2
283,3
284,2
285,3
286,0
287,1
288,1
289,2
290,1
291,2
292,1
293,1
294,5
295,3
296,0
297,1
298,14
299,1
300,0
301,0
302,1
303,0
304,2
305,1
306,1
307,0
308,0
309,4
310,1
311,0
312,2
313,2
314,0
315,0
316,1
317,1
318,2
319,2
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,1
331,2
332,3
333,2
334,1
335,3
336,1
337,2
338,1
339,0
340,3
341,0
342,3
343,3
344,4
345,0
346,2
347,14
348,3
349,2
350,1
351,2
352,1
353,1
354,0
355,2
356,3
357,0
358,0
359,6
360,4
361,3
362,0
363,1
364,0
365,1
366,1
367,4
368,1
369,1
370,5
371,0
372,2
373,1
374,1
375,3
376,1
377,5
378,3
379,0
380,2
381,1
382,0
383,3
384,0
385,0
386,1
387,4
388,6
389,3
390,1
391,3
392,0
393,1
394,8
395,2
396,0
397,1
398,2
399,2
400,1
401,2
402,2
403,2
404,0
405,0
406,2
407,3
408,3
409,2
410,2
411,1
412,1
413,7
414,2
415,4
416,0
417,2
418,0
419,0
420,0
421,3
422,6
423,1
424,8
425,3
426,3
427,3
428,0
429,1
430,5
431,3
432,0
433,1
434,0
435,2
436,3
437,0
438,1
439,1
440,4
441,2
442,0
443,0
444,1
445,1
446,1
447,2
448,2
449,1
450,1
451,1
452,1
453,2
454,2
455,1
456,0
457,3
458,0
459,3
460,1
461,4
462,4
463,1
464,1
465,1
466,4
467,0
468,3
469,4
470,0
471,5
472,2
473,4
474,3
475,1
476,2
477,0
478,1
479,5
480,1
481,2
482,3
483,0
484,0
485,2
486,0
487,0
488,5
489,5
490,1
491,0
492,2
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,4
501,0
502,0
503,1
504,3
505,2
506,0
507,0
508,2
509,1
510,0
511,0
512,3
513,0
514,4
515,2
516,5
517,2
518,0
519,0
520,4
521,3
522,0
523,3
524,0
525,1
526,1
527,0
528,0
529,0
530,2
531,2
532,1
533,1
534,2
535,1
536,3
537,1
538,1
539,1
540,2
541,2
542,2
543,3
544,3
545,1
546,3
547,1
548,4
549,2
550,0
551,1
552,1
553,3
554,3
555,3
556,2
557,4
558,3
559,2
560,2
561,0
562,0
563,1
564,1
565,4
566,0
567,0
568,0
569,2
570,2
571,1
572,8
573,3
574,0
575,3
576,1
577,0
578,4
579,2
580,0
581,2
582,0
583,1
584,2
585,1
586,8
587,7
588,1
589,0
590,1
591,1
592,0
593,4
594,3
595,2
596,1
597,1
598,3
599,0
600,5
601,3
602,2
603,2
604,2
605,1
606,2
607,0
608,0
609,4
610,9
611,1
612,1
613,0
614,11
615,0
616,2
617,3
618,1
619,4
620,2
621,1
622,1
623,1
624,0
625,0
626,1
627,2
628,2
629,2
630,1
631,5
632,5
633,3
634,0
635,2
636,3
637,8
638,0
639,0
640,2
641,3
642,1
643,0
644,0
645,4
646,1
647,0
648,9
649,4
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,0
658,4
659,1
660,1
661,2
662,3
663,4
664,5
665,1
666,1
667,1
668,0
669,2
670,2
671,0
672,2
673,2
674,0
675,4
676,0
677,1
678,3
679,0
680,2
681,0
682,1
683,0
684,2
685,4
686,1
687,2
688,2
689,2
690,1
691,0
692,1
693,2
694,2
695,2
696,1
697,1
698,0
699,4
700,2
701,0
702,9
703,0
704,1
705,2
706,0
707,0
708,1
709,3
710,5
711,3
712,0
713,2
714,0
715,1
716,0
717,5
718,0
719,2
720,1
721,2
722,2
723,0
724,1
725,2
726,2
727,5
728,0
729,4
730,0
731,0
732,0
733,1
734,1
735,3
736,1
737,2
738,2
739,3
740,3
741,9
742,2
743,0
744,4
745,4
746,0
747,2
748,0
749,2
750,4
751,2
752,0
753,2
754,2
755,3
756,2
757,1
758,0
759,0
760,1
761,4
762,0
763,1
764,0
765,0
766,2
767,2
768,6
769,1
770,2
771,0
772,0
773,1
774,2
775,18
776,4
777,4
778,1
779,4
780,2
781,2
782,2
783,0
784,3
785,2
786,1
787,3
788,0
789,1
790,1
791,0
792,1
793,1
794,0
795,2
796,2
797,2
798,0
799,2
800,0
801,1
802,9
803,0
804,2
805,1
806,2
807,1
808,2
809,2
810,2
811,1
812,15
813,3
814,5
815,0
816,1
817,1
818,0
819,0
820,1
821,0
822,1
823,1
824,0
825,0
826,2
827,2
828,4
829,0
830,1
831,2
832,1
833,2
834,0
835,0
836,0
837,0
838,0
839,0
840,3
841,2
842,1
843,5
844,0
845,0
846,2
847,5
848,0
849,0
850,1
851,2
852,3
853,2
854,2
855,2
856,7
857,2
858,1
859,1
860,3
861,0
862,0
863,2
864,0
865,0
866,0
867,0
868,3
869,3
870,2
871,1
872,9
873,2
874,0
875,2
876,2
877,0
878,2
879,3
880,0
881,2
882,2
883,0
884,0
885,2
886,0
887,2
888,0
889,1
890,1
891,3
892,4
893,4
894,1
895,0
896,2
897,4
898,3
899,1
900,2
901,1
902,3
903,19
904,0
905,0
906,0
907,4
908,2
909,2
910,5
911,2
912,1
913,3
914,2
915,2
916,3
917,0
918,1
919,2
920,2
921,1
922,2
923,4
924,1
925,0
926,3
927,0
928,0
929,3
930,4
931,1
932,3
933,3
934,1
935,3
936,4
937,1
938,0
939,2
940,0
941,2
942,0
943,4
944,2
945,2
946,0
947,2
948,4
949,3
950,0
951,2
952,1
953,0
954,0
955,9
956,2
957,0
958,0
959,0
960,2
961,0
962,0
963,0
964,2
965,1
966,1
967,0
968,2
969,5
970,7
971,11
972,0
973,2
974,1
975,2
976,1
977,0
978,1
979,2
980,2
981,1
982,13
983,2
984,2
985,2
986,2
987,3
988,3
989,2
990,2
991,1
992,2
993,0
994,3
995,1
996,2
997,1
998,2
999,0
1000,1
1001,11
1002,1
1003,0
1004,0
1005,1
1006,2
1007,4
1008,1
1009,0
1010,2
1011,8
1012,2
1013,0
1014,0
1015,2
1016,2
1017,0
1018,1
1019,0
1020,0
1021,2
1022,3
1023,1
1024,4
1025,1
1026,1
1027,1
1028,2
1029,1
1030,5
1031,1
1032,0
1033,1
1034,1
1035,0
1036,2
1037,3
1038,2
1039,2
1040,1
1041,0
1042,2
1043,1
1044,1
1045,3
1046,2
1047,1
1048,3
1049,0
1050,0
1051,1
1052,2
1053,0
1054,0
1055,1
1056,1
1057,2
1058,2
1059,0
1060,0
1061,1
1062,2
1063,1
1064,0
1065,3
1066,1
1067,2
1068,6
1069,0
1070,1
1071,2
1072,2
1073,5
1074,4
1075,2
1076,0
1077,0
1078,0
1079,1
1080,0
1081,3
1082,2
1083,0
1084,1
1085,7
1086,2
1087,1
1088,0
1089,3
1090,1
1091,2
1092,0
1093,3
1094,2
1095,5
1096,2
1097,0
1098,0
1099,2
1100,1
1101,1
1102,2
1103,1
1104,2
1105,2
1106,1
1107,4
1108,2
1109,1
1110,0
1111,3
1112,1
1113,4
1114,0
1115,0
1116,1
1117,1
1118,1
1119,4
1120,1
1121,0
1122,0
1123,4
1124,1
1125,2
1126,2
1127,0
1128,0
1129,2
1130,1
1131,0
1132,0
1133,3
1134,0
1135,8
1136,1
1137,0
1138,2
1139,2
1140,4
1141,4
1142,0
1143,1
1144,2
1145,3
1146,1
1147,2
1148,0
1149,1
1150,1
1151,1
1152,1
1153,0
1154,3
1155,6
1156,2
1157,1
1158,0
1159,1
1160,1
1161,1
1162,0
1163,6
1164,2
1165,5
1166,6
1167,0
1168,0
1169,2
1170,0
1171,1
1172,3
1173,0
1174,2
1175,6
1176,0
1177,0
1178,1
1179,2
1180,1
1181,2
1182,1
1183,2
1184,2
1185,12
1186,1
1187,2
1188,3
1189,1
1190,7
1191,1
1192,0
1193,1
1194,0
1195,0
1196,0
1197,1
1198,6
1199,1
1200,4
1201,0
1202,3
1203,1
1204,1
1205,0
1206,3
1207,2
1208,1
1209,6
1210,3
1211,1
1212,1
1213,2
1214,0
1215,0
1216,2
1217,1
1218,1
