movieId,userId
1,5
2,3
3,2
4,2
5,2
6,2
7,0
8,2
9,1
10,2
11,3
12,2
13,2
14,2
15,2
16,3
17,2
18,1
19,1
20,2
21,3
22,4
23,2
24,4
25,3
26,1
27,1
28,0
29,3
30,0
31,3
32,5
33,0
34,3
35,1
36,3
37,1
38,1
39,1
40,1
41,1
42,3
43,1
44,3
45,2
46,1
47,3
48,1
49,1
50,3
51,1
52,0
53,0
54,2
55,0
56,2
57,1
58,1
59,1
60,2
61,1
62,3
63,1
64,1
65,1
66,3
67,0
68,0
69,0
70,3
71,1
72,1
73,3
74,0
75,2
76,3
77,0
78,0
79,2
80,1
81,1
82,0
83,0
84,1
85,1
86,3
87,2
88,2
89,2
90,1
92,3
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,2
101,1
102,0
103,2
104,2
105,2
106,0
107,3
108,0
109,0
110,4
111,3
112,1
113,0
114,0
115,0
116,0
117,2
118,1
119,1
120,0
121,0
122,2
123,0
124,0
125,0
126,2
127,0
128,0
129,0
130,0
131,0
132,2
133,0
134,0
135,2
136,0
137,0
138,0
139,0
140,0
141,2
142,0
143,0
144,1
145,2
146,1
147,2
148,0
149,1
150,4
151,2
152,2
153,3
154,0
155,0
156,0
157,2
158,2
159,2
160,4
161,3
162,1
163,2
164,1
165,2
166,1
167,0
168,2
169,2
170,2
171,1
172,4
173,4
174,2
175,1
176,0
177,3
178,0
179,2
180,1
181,2
182,0
183,0
184,1
185,3
186,1
187,0
188,2
189,1
190,0
191,0
192,0
193,1
194,2
195,2
196,4
197,1
198,3
199,2
200,1
201,0
202,0
203,1
204,2
205,1
206,0
207,2
208,3
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,2
218,1
219,1
220,1
222,2
223,1
224,1
225,2
226,0
227,2
228,0
229,1
230,3
231,2
232,3
233,1
234,0
235,3
236,1
237,1
238,2
239,2
240,0
241,1
242,1
243,1
244,2
245,0
246,2
247,2
248,2
249,1
250,2
251,1
252,2
253,4
254,1
255,0
256,3
257,1
258,3
259,1
260,6
261,2
262,3
263,0
264,0
265,3
266,3
267,1
268,0
269,0
270,0
271,0
272,3
273,3
274,0
275,0
276,1
277,0
278,0
279,0
280,3
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,2
289,1
290,2
291,1
292,4
293,2
294,0
295,1
296,3
297,0
298,0
299,1
300,3
301,0
302,1
303,1
304,0
305,0
306,2
307,0
308,1
309,0
310,0
311,2
312,0
313,2
314,1
315,2
316,4
317,2
318,6
319,0
320,0
321,0
322,0
324,1
325,1
326,0
327,4
328,2
329,4
330,2
331,0
332,3
333,2
334,0
335,0
336,1
337,2
338,4
339,2
340,0
341,0
342,0
343,2
344,2
345,2
346,0
347,1
348,0
349,2
